[Command: python -u /Users/ianlewis/Documents/GitHub/ianlew.is/dev-projects/Map/loc_estimator.py]
[-25.7394229, 28.1758982]
[38.883541, -77.0810889]
[48.691738, 2.37216]
[39.3642834, -74.4229266]
[48.4284207, -123.3656444]
[56.511018, 3.515625]
[52.4382805, 13.5128582]
[50.81057, 4.93622]
[53.859336, 8.6879057]
[42.48419990000001, 26.5035023]
[51.627903, 0.418397]
[51.696636, -0.175948]
[49.9928617, 8.2472526]
[54.691745, -1.212926]
[51.0543422, 3.7174243]
[53.87327, 10.67452]
[53.02412229999999, 4.7507255]
['Zero Results', 'Zero Results']
[52.598233, 1.728047]
[45.5668553, -92.50940519999999]
[48.592237, 6.492338999999999]
[34.5531284, 18.0480105]
['Zero Results', 'Zero Results']
['Zero Results', 'Zero Results']
[40.6639916, -74.2107006]
[41.49932, -81.6943605]
[40.9069095, -77.93861749999999]
[45.43838419999999, 10.9916215]
[54.978252, -1.61778]
[39.2720509, -76.73191609999999]
['Zero Results', 'Zero Results']
[40.78593310000001, -74.7801645]
[51.28029600000001, -0.08161589999999999]
[41.5033572, -85.8307059]
[40.735657, -74.1723667]
[40.735657, -74.1723667]
[40.93560009999999, -74.6611769]
[41.2916728, -92.6493595]
[41.49932, -81.6943605]
[10.3910485, -75.4794257]
[52.1359729, -0.4666546]
[38.9896967, -76.93776]
[40.79676670000001, -74.4815438]
[41.4108855, -83.46104]
[40.5395289, -76.96081029999999]
[42.518487, 3.106592]
[39.4699075, -0.3762881]
[41.8500284, -88.3125738]
[41.0802621, -105.5074905]
[51.5073509, -0.1277583]
[41.3850639, 2.1734035]
[44.8871878, -93.1643869]
[43.8013556, -91.23958069999999]
[36.140751, -5.353585]
[40.8324211, -115.7631232]
[-37.9178086, 144.7477259]
[40.72229799999999, -73.6045937]
[41.49932, -81.6943605]
[41.58746439999999, -109.2029043]
[43.604652, 1.444209]
[53.6501443, -0.2822148]
[48.856614, 2.3522219]
[-25.8751208, 118.8407431]
[48.856614, 2.3522219]
[36.8507689, -76.28587259999999]
[-14.5994134, -28.6731465]
[49.665342, 1.939705]
[39.3235154, 115.2698329]
[51.081397, 1.169456]
[53.635, 10.016111]
[48.741963, 7.361647]
[36.5270612, -6.2885962]
[39.768403, -86.158068]
[45.4408474, 12.3155151]
[35.1744271, -6.1473964]
[34.0181246, -5.0078451]
[41.919229, 8.738635]
[41.3850639, 2.1734035]
[41.1399814, -104.8202462]
[41.6414438, -80.15144839999999]
[49.894067, 2.295753]
[44.4267674, 26.1025384]
[41.4645824, -83.9521687]
[51.837421, -0.628359]
[61.52401, 105.318756]
[41.4000523, -82.80852039999999]
[34.5531284, 18.0480105]
[41.1697041, -104.2568991]
[40.9658931, -78.6130821]
[50.134664, -0.357056]
[11.0041072, -74.80698129999999]
[37.09024, -95.712891]
[43.545815, 3.125343]
[41.5822716, -85.8344383]
[51.339228, -0.119711]
[41.7151377, 44.827096]
[38.3459963, -0.4906855]
[50.125434, 3.691623]
[38.3459963, -0.4906855]
[42.2605204, 3.2080991]
[47.497912, 19.040235]
[39.74785079999999, -81.51651269999999]
[40.8277, -77.7731]
[20.9425179, -17.0362272]
[50.725231, 1.613334]
[41.5844951, -84.6055076]
[52.5348604, 13.1431864]
[50.134664, -0.357056]
['Zero Results', 'Zero Results']
[50.95088, 4.30927]
[53.681385, 7.0081631]
[51.16957009999999, 0.8744862999999999]
[40.7127837, -74.0059413]
[51.198733, 0.218376]
[51.55092, 8.5597678]
[50.134664, -0.357056]
['Zero Results', 'Zero Results']
[42.3265152, -122.8755949]
[50.644248, 2.721848]
[33.9715904, -6.8498129]
[-24.883333, 146.25]
[43.0040661, -115.2039579]
[50.7562528, 10.4819945]
[41.5822716, -85.8344383]
[36.753768, 3.0587561]
[50.797725, 8.9219942]
[51.27241000000001, 0.190898]
[41.8809434, -72.2600655]
[40.54898499999999, -74.424723]
[-14.5994134, -28.6731465]
[50.57616650000001, 11.8090005]
['Zero Results', 'Zero Results']
[40.4862157, -74.4518188]
[48.5734053, 7.752111299999999]
[59.9124514, 26.2623374]
[41.4372721, -85.14719339999999]
[36.834047, -2.4637136]
[43.296482, 5.36978]
[42.9056288, -74.5718073]
[-34.7871645, -55.38349669999999]
[42.587015, 1.797689]
[41.1188827, 1.2444909]
[36.834047, -2.4637136]
[41.0069471, -98.00966199999999]
[50.871091, 1.583382]
[42.9342, -85.703285]
[38.9679552, -0.1813922]
[-27.5948698, -48.54821949999999]
[44.9734, -93.22173459999999]
[51.2015995, 7.3590901]
[50.1109221, 8.6821267]
[38.4166818, -95.85304409999999]
[59.9124514, 26.2623374]
[51.339228, -0.119711]
[51.8802438, 4.4257102]
[48.11703869999999, -122.7604471]
[48.678296, 5.890159]
[-34.9062557, 138.8397403]
[42.8713032, -112.4455344]
[49.69082419999999, 11.0048276]
[41.9794005, 2.8214264]
[41.3670014, -79.92922329999999]
[44.933393, 4.89236]
[36.140751, -5.353585]
[41.4486619, -84.7480123]
[41.4486619, -84.7480123]
[41.3873741, -80.86912730000002]
[33.4764767, -100.8556857]
[-22.9068467, -43.1728965]
[47.6587802, -117.4260465]
[52.4465493, 11.4862361]
[41.3950489, -82.55517329999999]
[35.0456297, -85.3096801]
[49.258329, 4.031696]
[41.984407, -72.3162523]
[45.2965256, -117.8079872]
[39.6242621, 19.9216777]
[39.629526, -79.95589679999999]
[31.791702, -7.092619999999999]
[40.735657, -74.1723667]
[33.9294606, -116.977248]
[32.715738, -117.1610838]
[22.2331041, -97.861099]
